movieId,poster
54,"https://m.media-amazon.com/images/M/MV5BZTdmZTMyMjEtODI3YS00ZWJlLWEwMWItYzFlYTc4OTc5MWZiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
55,"https://m.media-amazon.com/images/M/MV5BNGYzOWFiZDQtNDllNS00NWZmLTljMjEtNDgxMzJkYzczYzY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
57,"https://m.media-amazon.com/images/M/MV5BOGQ2YTdhMjYtZTI5OS00MDljLWE0NDYtMmNjZjNiNjQ3N2I5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
58,"https://m.media-amazon.com/images/M/MV5BNjcwNjY4NDgtODY3Yi00MmQ0LTk4YzktNWJkNTk0ZmEyMDMxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
60,
61,
62,"https://m.media-amazon.com/images/M/MV5BMjdhODcyMDQtOGQzYy00YTk5LTlmMTAtYjE2NjkyYTZlZDc1XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
63,"https://m.media-amazon.com/images/M/MV5BNmQxNzJkNjctNDdhZi00NjliLTg0NTgtMmY4ODkzYmM3NTg4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
64,"https://m.media-amazon.com/images/M/MV5BYjRiMWQ2ZTItNmY4MS00NzM0LTk1NmUtZTI4ODJmYzQwYjE4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
65,"https://m.media-amazon.com/images/M/MV5BMTViMjU5NGUtNDM3Yy00ZGQ3LTk3YTktMWJmYWFmMjVjNTViXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
66,"https://m.media-amazon.com/images/M/MV5BZGUxMmJiZjEtMDdkNC00MGMzLWI3MTItOTJiYmNhOGM0Mjk5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
68,"https://m.media-amazon.com/images/M/MV5BM2NjNDgwOTgtYTFjYS00ZDljLTgwNDktNjNmNzA3NWVkMzE5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
69,"https://m.media-amazon.com/images/M/MV5BMTUxZmQzZjAtODM3NC00YWUyLWE2NmEtODAxODZmOGEzYzQwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
